Número da contratação;Status da contratação;Situação da Execução;Título da contratação;Categoria da contratação;UASG Atual;Valor total da contratação;Data estimada para o início do processo de contratação;Data estimada para a conclusão do processo de contratação;Prazo estimado de duração do processo de contratação (dias);Área requisitante;Nº DFD;Prioridade;Nº do Item no DFD;Data da conclusão da Contratação no DFD;Classificação da Contratação;Código Classe/Grupo;Nome Classe/Grupo;Código PDM material;Nome do PDM material;Código material/serviço;Descrição material/serviço;Unidade Fornecimento;Valor Unitário;Quantidade;Valor Total
"190/2025";Aprovada;Preparação;"Aquisição de equipamentos/mobiliário de cozinha industrial do restaurante do Bloco O";BENS;250110;371.504,0000;01/01/2025;30/06/2025;180;"SAA.CGINFRA";"382/2024";"Médio";20;30/06/2025;Material;7310;EQUIPAMENTOS PARA COZINHAR, ASSAR E SERVIR ALIMENTOS;"3244";"BALCÃO CONSERVAÇÃO ALIMENTO";252793;"CARACTERÍSTICAS ADICIONAIS: VITRINE SUPERIOR EM VIDRO CURVO, 6 PORTAS FRONTAIS, DIÂMETRO RODÍZIO: 4, MATERIAL: AÇO INOXIDÁVEL, TIPO RODÍZIO: GIRATÓRIO COM FREIO, COMPRIMENTO: 340, LARGURA: 70, ALTURA: 85, COMPONENTES: PASTA FRIA COM ISOLAMENTO TÉRMICO, QUANTIDADE RECIPIENTE: 6 (GNS 1/2-65) E 6 (GNS 1/1-65), TIPO RECIPIENTES: COM ALÇAS MÓVEIS E TAMPA";"UN";5.397,0000;1,00000;5.397,0000
"190/2025";Aprovada;Preparação;"Aquisição de equipamentos/mobiliário de cozinha industrial do restaurante do Bloco O";BENS;250110;371.504,0000;01/01/2025;30/06/2025;180;"SAA.CGINFRA";"382/2024";"Médio";21;30/06/2025;Material;4110;EQUIPAMENTO PARA REFRIGERAÇÃO;"14437";"REFRIGERADOR EXPOSITOR";617469;"APLICAÇÃO: REFRIGERAR ALIMENTOS, CAPACIDADE: 338, CARACTERÍSTICAS ADICIONAIS: ILUMINAÇÃO INTERNA, TEMPERATURA: 0 A 10, TIPO: VERTICAL, VOLTAGEM: 127";"UN";6.000,0000;1,00000;6.000,0000
"190/2025";Aprovada;Preparação;"Aquisição de equipamentos/mobiliário de cozinha industrial do restaurante do Bloco O";BENS;250110;371.504,0000;01/01/2025;30/06/2025;180;"SAA.CGINFRA";"382/2024";"Médio";22;30/06/2025;Material;4110;EQUIPAMENTO PARA REFRIGERAÇÃO;"763";"BALCÃO FRIGORÍFICO";253723;"ACABAMENTO SUPERFICIAL: INOXIDÁVEL, LARGURA: 2, MATERIAL ESTRUTURA: METAL, TENSÃO ALIMENTAÇÃO: 110";"UN";8.507,9900;1,00000;8.507,9900
"190/2025";Aprovada;Preparação;"Aquisição de equipamentos/mobiliário de cozinha industrial do restaurante do Bloco O";BENS;250110;371.504,0000;01/01/2025;30/06/2025;180;"SAA.CGINFRA";"382/2024";"Médio";23;30/06/2025;Material;7310;EQUIPAMENTOS PARA COZINHAR, ASSAR E SERVIR ALIMENTOS;"7213";"ESTUFA ELÉTRICA PARA COZINHA";615156;"CAPACIDADE: ATÉ 34 GNS 1/1, DIMENSÕES: 750 X 850 X 2190, POTÊNCIA: 1,16, QUANTIDADE DE PORTA: 1, TIPO: PASS-THRU AQUECIDO, VOLTAGEM: 220, VOLUME INTERNO: 475";"UN";3.000,0000;2,00000;6.000,0000
"190/2025";Aprovada;Preparação;"Aquisição de equipamentos/mobiliário de cozinha industrial do restaurante do Bloco O";BENS;250110;371.504,0000;01/01/2025;30/06/2025;180;"SAA.CGINFRA";"382/2024";"Médio";24;30/06/2025;Material;7105;MOBILIÁRIO DOMÉSTICO;"15339";"CADEIRA REFEITÓRIO";413991;"ALTURA: 85, CARACTERÍSTICAS ADICIONAIS: SEM BRAÇOS, COMPRIMENTO: 51, COR: BRANCA, ESTRUTURA: ALUMÍNIO, LARGURA: 48, MATERIAL: POLIPROPILENO";"UN";350,0000;140,00000;49.000,0000
"190/2025";Aprovada;Preparação;"Aquisição de equipamentos/mobiliário de cozinha industrial do restaurante do Bloco O";BENS;250110;371.504,0000;01/01/2025;30/06/2025;180;"SAA.CGINFRA";"382/2024";"Médio";25;30/06/2025;Material;7195;MOBILIÁRIOS DIVERSOS E ACESSÓRIOS;"16082";"MESA REFEITÓRIO";250106;"ACABAMENTO BORDAS: ABS, ACABAMENTO SUPERFICIAL ESTRUTURA: PINTURA EM EPÓXI CINZA, ALTURA: 0,72, DIÂMETRO: 1,20, ESPESSURA: 3, MATERIAL ESTRUTURA: TUBO METÁLICO, MATERIAL TAMPO: MADEIRA AGLOMERADA ALTA DENSIDADE, REVESTIMENTO TAMPO: LAMINADO MELAMÍNICO TEXTURIZADO COR CINZA";"UN";650,0000;35,00000;22.750,0000
"186/2025";Aprovada;;"Aquisição de ar-condicionado para o Edifíco Sede e Anexo";BENS;250110;248.000,0000;05/03/2025;01/09/2025;180;"SAA.CGINFRA";"370/2024";"Médio";1;30/08/2025;Material;4120;EQUIPAMENTO DE AR CONDICIONADO;"13768";"APARELHO AR CONDICIONADO";618525;"CAPACIDADE REFRIGERAÇÃO: 12.000, CARACTERÍSTICAS ADICIONAIS: COM CONTROLE REMOTO SEM FIO, CARACTERÍSTICAS ADICIONAIS 1: CONTROLE REMOTO S/FIO, QUENTE/FRIO, SELO PROCEL, FREQÜÊNCIA: 60, GARANTIA: 1, MODELO: SPLIT INVERTER, TENSÃO: 220, TIPO: SPLIT HI WALL";"UN";3.000,0000;20,00000;60.000,0000
"186/2025";Aprovada;;"Aquisição de ar-condicionado para o Edifíco Sede e Anexo";BENS;250110;248.000,0000;05/03/2025;01/09/2025;180;"SAA.CGINFRA";"370/2024";"Médio";2;30/08/2025;Material;4120;EQUIPAMENTO DE AR CONDICIONADO;"13768";"APARELHO AR CONDICIONADO";621057;"CAPACIDADE REFRIGERAÇÃO: 17.000 À 20.000, CARACTERÍSTICAS ADICIONAIS: CONTROLE REMOTO/CICLO REVERSO (QUENTE/FRIO), FREQÜÊNCIA: 60, GARANTIA: 1, MODELO: PISO-TETO INVERTER, TENSÃO: 220, TIPO: SPLIT";"UN";4.300,0000;20,00000;86.000,0000
"186/2025";Aprovada;;"Aquisição de ar-condicionado para o Edifíco Sede e Anexo";BENS;250110;248.000,0000;05/03/2025;01/09/2025;180;"SAA.CGINFRA";"370/2024";"Médio";3;30/08/2025;Material;4120;EQUIPAMENTO DE AR CONDICIONADO;"13768";"APARELHO AR CONDICIONADO";619109;"CAPACIDADE REFRIGERAÇÃO: 24.000, CARACTERÍSTICAS ADICIONAIS 1: CONTROLE REMOTO/CICLO REVERSO (QUENTE/FRIO), FREQÜÊNCIA: 60, GARANTIA: 1, MODELO: SPLIT INVERTER, TENSÃO: 220, TIPO: HI-WALL";"UN";5.100,0000;20,00000;102.000,0000
"181/2025";Aprovada;;"Contratação de serviços de locação de veículos para atender as SEMS";SERVICOS;250110;3.267.206,4400;03/10/2024;01/04/2025;180;"SAA.COGAD";"372/2024";"Baixo";1;01/04/2025;Serviço;643;SERVIÇOS DE TRANSPORTE RODOVIÁRIO;"";"";23469;"PRESTAÇÃO DE SERVIÇO DE  TRANSPORTE PARA SERVIDOR - CONDUÇÃODE VEÍCULO - 12 HORAS NOTURNAS DE 2ª A 6ª-FEIRA";"";539.762,6400;1,00000;539.762,6400
"181/2025";Aprovada;;"Contratação de serviços de locação de veículos para atender as SEMS";SERVICOS;250110;3.267.206,4400;03/10/2024;01/04/2025;180;"SAA.COGAD";"372/2024";"Baixo";2;01/04/2025;Serviço;643;SERVIÇOS DE TRANSPORTE RODOVIÁRIO;"";"";23469;"PRESTAÇÃO DE SERVIÇO DE  TRANSPORTE PARA SERVIDOR - CONDUÇÃODE VEÍCULO - 12 HORAS NOTURNAS DE 2ª A 6ª-FEIRA";"";461.806,4400;1,00000;461.806,4400
"181/2025";Aprovada;;"Contratação de serviços de locação de veículos para atender as SEMS";SERVICOS;250110;3.267.206,4400;03/10/2024;01/04/2025;180;"SAA.COGAD";"372/2024";"Baixo";3;01/04/2025;Serviço;643;SERVIÇOS DE TRANSPORTE RODOVIÁRIO;"";"";23469;"PRESTAÇÃO DE SERVIÇO DE  TRANSPORTE PARA SERVIDOR - CONDUÇÃODE VEÍCULO - 12 HORAS NOTURNAS DE 2ª A 6ª-FEIRA";"";481.673,5600;1,00000;481.673,5600
"181/2025";Aprovada;;"Contratação de serviços de locação de veículos para atender as SEMS";SERVICOS;250110;3.267.206,4400;03/10/2024;01/04/2025;180;"SAA.COGAD";"372/2024";"Baixo";4;01/04/2025;Serviço;643;SERVIÇOS DE TRANSPORTE RODOVIÁRIO;"";"";23469;"PRESTAÇÃO DE SERVIÇO DE  TRANSPORTE PARA SERVIDOR - CONDUÇÃODE VEÍCULO - 12 HORAS NOTURNAS DE 2ª A 6ª-FEIRA";"";705.778,4400;1,00000;705.778,4400
"181/2025";Aprovada;;"Contratação de serviços de locação de veículos para atender as SEMS";SERVICOS;250110;3.267.206,4400;03/10/2024;01/04/2025;180;"SAA.COGAD";"372/2024";"Baixo";5;01/04/2025;Serviço;643;SERVIÇOS DE TRANSPORTE RODOVIÁRIO;"";"";23469;"PRESTAÇÃO DE SERVIÇO DE  TRANSPORTE PARA SERVIDOR - CONDUÇÃODE VEÍCULO - 12 HORAS NOTURNAS DE 2ª A 6ª-FEIRA";"";167.766,0000;1,00000;167.766,0000
"181/2025";Aprovada;;"Contratação de serviços de locação de veículos para atender as SEMS";SERVICOS;250110;3.267.206,4400;03/10/2024;01/04/2025;180;"SAA.COGAD";"372/2024";"Baixo";6;01/04/2025;Serviço;643;SERVIÇOS DE TRANSPORTE RODOVIÁRIO;"";"";23469;"PRESTAÇÃO DE SERVIÇO DE  TRANSPORTE PARA SERVIDOR - CONDUÇÃODE VEÍCULO - 12 HORAS NOTURNAS DE 2ª A 6ª-FEIRA";"";379.880,4000;1,00000;379.880,4000
"181/2025";Aprovada;;"Contratação de serviços de locação de veículos para atender as SEMS";SERVICOS;250110;3.267.206,4400;03/10/2024;01/04/2025;180;"SAA.COGAD";"372/2024";"Baixo";7;01/04/2025;Serviço;643;SERVIÇOS DE TRANSPORTE RODOVIÁRIO;"";"";23469;"PRESTAÇÃO DE SERVIÇO DE  TRANSPORTE PARA SERVIDOR - CONDUÇÃODE VEÍCULO - 12 HORAS NOTURNAS DE 2ª A 6ª-FEIRA";"";530.538,9600;1,00000;530.538,9600
"168/2025";Aprovada;;"Aquisição de Material  de consumo para realização de ações de vigilância e promoção da saúde (PICS)";BENS;250110;18.424,4000;07/08/2024;03/02/2025;180;"SAA.COGEP.COASS";"286/2024";"Médio";1;01/02/2025;Material;6515;INSTRUMENTOS, EQUIPAMENTOS E SUPRIMENTOS MÉDICOS  E  CIRÚRGICOS;"9492";"MATERIAL PARA ACUPUNTURA";615046;"CARACTERÍSTICAS ADICIONAIS: BILATERAL, MATERIAL: PLÁSTICO, TAMANHO: CERCA DE 12 X 14 CM, TIPO: 169 X 2 ESPAÇOS, TIPO MATERIAL: PLACA PARA SEMENTE AURICULAR";"EMB";6,0000;300,00000;1.800,0000
"168/2025";Aprovada;;"Aquisição de Material  de consumo para realização de ações de vigilância e promoção da saúde (PICS)";BENS;250110;18.424,4000;07/08/2024;03/02/2025;180;"SAA.COGEP.COASS";"286/2024";"Médio";2;01/02/2025;Material;6515;INSTRUMENTOS, EQUIPAMENTOS E SUPRIMENTOS MÉDICOS  E  CIRÚRGICOS;"9492";"MATERIAL PARA ACUPUNTURA";614960;"CARACTERÍSTICAS ADICIONAIS: PARA AGULHA AURICULAR, TAMANHO: CERCA DE 12 CM, TIPO MATERIAL: APLICADOR MAGNÉTICO";"UN";35,8900;10,00000;358,9000
"168/2025";Aprovada;;"Aquisição de Material  de consumo para realização de ações de vigilância e promoção da saúde (PICS)";BENS;250110;18.424,4000;07/08/2024;03/02/2025;180;"SAA.COGEP.COASS";"286/2024";"Médio";3;01/02/2025;Material;6532;VESTUÁRIO HOSPITALAR E CIRÚRGICO E ITENS CORRELATOS DE  FINALIDADES ESPECIAIS;"8774";"LENÇOL DESCARTÁVEL USO HOSPITALAR";481791;"APRESENTAÇÃO 1: EM ROLO, DIMENSOES: CERCA DE 70 CM X 50 M, MATERIA PRIMA: 100% FIBRA CELULOSE NATURAL";"UN";159,3000;100,00000;15.930,0000
"168/2025";Aprovada;;"Aquisição de Material  de consumo para realização de ações de vigilância e promoção da saúde (PICS)";BENS;250110;18.424,4000;07/08/2024;03/02/2025;180;"SAA.COGEP.COASS";"286/2024";"Médio";4;01/02/2025;Material;6515;INSTRUMENTOS, EQUIPAMENTOS E SUPRIMENTOS MÉDICOS  E  CIRÚRGICOS;"9492";"MATERIAL PARA ACUPUNTURA";614958;"MATERIAL: PONTA AÇO INOXIDÁVEL, TAMANHO: CERCA DE 12 CM, TIPO MATERIAL: APALPADOR DE PRESSÃO, ANGULADO";"UN";33,5500;10,00000;335,5000
"167/2025";Aprovada;;"Aquisição de Material  de consumo para realização de ações de vigilância e promoção da saúde.";BENS;250110;29.998,0000;28/08/2024;24/02/2025;180;"SAA.COGEP.COASS";"287/2024";"Médio";1;22/02/2025;Material;6695;INSTRUMENTOS COMBINADOS DIVERSOS;"6396";"DOSÍMETRO DIGITAL";440208;"ACESSÓRIOS: ESTOJO, PILHAS, SOFTWARE, CABO C/ MICROFONE, CLIPE, ESCALA: SELECIONÁVEL 40 A 140, NORMAS TÉCNICAS: ANSI S1.25 (1991)/ISO 1999 BS 402 (1983) E IEC 651, PRECISÃO: +/- 1,5, TIPO DISPLAY: LCD 4 DÍGITOS";"UN";3.500,0000;1,00000;3.500,0000
"167/2025";Aprovada;;"Aquisição de Material  de consumo para realização de ações de vigilância e promoção da saúde.";BENS;250110;29.998,0000;28/08/2024;24/02/2025;180;"SAA.COGEP.COASS";"287/2024";"Médio";2;22/02/2025;Material;5180;JOGOS E CONJUNTOS DE FERRAMENTAS MANUAIS;"14636";"CONJUNTO FERRAMENTAS";617113;"APLICAÇÃO: MANUTENÇÃO EM GERAL, CARACTERÍSTICAS ADICIONAIS: MALETA, COMPONENTES: ADAPTADORES, CHAVES, BROCAS, PONTAS E SERRAS, TIPO: KIT FERRAMENTAS COM 100 PEÇAS";"UN";500,0000;1,00000;500,0000
"167/2025";Aprovada;;"Aquisição de Material  de consumo para realização de ações de vigilância e promoção da saúde.";BENS;250110;29.998,0000;28/08/2024;24/02/2025;180;"SAA.COGEP.COASS";"287/2024";"Médio";3;22/02/2025;Material;7210;UTENSÍLIOS DOMÉSTICOS;"2344";"ALMOFADA ASSENTO / ENCOSTO";600794;"CARACTERÍSTICAS ADICIONAIS: IMPERMEÁVEL, ANTI-FUNGO, COR: COLORIDA, DIMENSÕES: 50 X 50, ENCHIMENTO: FIBRA DE POLIÉSTER, TECIDO DE REVESTIMENTO: 72% ALGODÃO + 28% POLIÉSTER";"UN";86,6600;300,00000;25.998,0000
"166/2025";Aprovada;;"Aquisição de Material  de consumo para realização de ações de vigilância e promoção da saúde (Ativid";BENS;250110;99.888,4400;07/08/2024;03/02/2025;180;"SAA.COGEP.COASS";"284/2024";"Médio";1;01/02/2025;Material;8415;VESTUÁRIO PARA FINS ESPECIAIS;"14086";"CAMISA UNIFORME";260376;"APLICAÇÃO: PRÁTICAS DESPORTIVAS, CARACTERÍSTICAS ADICIONAIS: Nº FRENTE/VERSO, LOGOMARCA/MODALIDADE EM TRANSFER, COR: VERMELHA / LARANJA, MATERIAL: MICROFIBRA, TAMANHO: G, TIPO CAMISA: ESPORTIVA, TIPO COLARINHO: EM V, TIPO MANGA: COMPRIDA, TIPO USO: ESPORTE";"UN";30,0000;250,00000;7.500,0000
"166/2025";Aprovada;;"Aquisição de Material  de consumo para realização de ações de vigilância e promoção da saúde (Ativid";BENS;250110;99.888,4400;07/08/2024;03/02/2025;180;"SAA.COGEP.COASS";"284/2024";"Médio";2;01/02/2025;Material;8415;VESTUÁRIO PARA FINS ESPECIAIS;"14085";"CALÇA";601193;"APLICAÇÃO: UNIFORME, COR: VARIADA, MATERIAL: 67% ALGODÃO / 33% POLIÉSTER, MODELO: UNISSEX, QUANTIDADE BOLSOS: 2 LATERAIS E 2 TRASEIROS, TAMANHO: VARIADO, TIPO CÓS: COM ELÁSTICO E PALA";"UN";40,0000;250,00000;10.000,0000
"166/2025";Aprovada;;"Aquisição de Material  de consumo para realização de ações de vigilância e promoção da saúde (Ativid";BENS;250110;99.888,4400;07/08/2024;03/02/2025;180;"SAA.COGEP.COASS";"284/2024";"Médio";3;01/02/2025;Material;7810;EQUIPAMENTO PARA ATLETISMO E DESPORTO;"3671";"BOLA DE TÊNIS";450270;"CARACTERÍSTICAS ADICIONAIS: APROVADA PELA FEDERAÇÃO INTERNACIONAL DE TÊNIS, MATERIAL: BORRACHA REVESTIDA COM FELTRO, PESO: 56 A 59,4";"UN";5,5000;100,00000;550,0000
"166/2025";Aprovada;;"Aquisição de Material  de consumo para realização de ações de vigilância e promoção da saúde (Ativid";BENS;250110;99.888,4400;07/08/2024;03/02/2025;180;"SAA.COGEP.COASS";"284/2024";"Médio";4;01/02/2025;Material;7810;EQUIPAMENTO PARA ATLETISMO E DESPORTO;"4405";"CANELEIRA";387594;"COR: VERDE, MATERIAL: NÁILON, PESO: 3, TIPO: REGULAVÉL COM VELCRO";"PAR";40,0000;20,00000;800,0000
"166/2025";Aprovada;;"Aquisição de Material  de consumo para realização de ações de vigilância e promoção da saúde (Ativid";BENS;250110;99.888,4400;07/08/2024;03/02/2025;180;"SAA.COGEP.COASS";"284/2024";"Médio";5;01/02/2025;Material;7810;EQUIPAMENTO PARA ATLETISMO E DESPORTO;"4405";"CANELEIRA";329055;"CARACTERÍSTICAS ADICIONAIS: REVESTIDO EM NÁILON COM VELCRO, PESO: 1, TIPO: PESO DE AREIA, USO: FISIOTERAPIA";"PAR";30,0000;20,00000;600,0000
"166/2025";Aprovada;;"Aquisição de Material  de consumo para realização de ações de vigilância e promoção da saúde (Ativid";BENS;250110;99.888,4400;07/08/2024;03/02/2025;180;"SAA.COGEP.COASS";"284/2024";"Médio";6;01/02/2025;Material;7810;EQUIPAMENTO PARA ATLETISMO E DESPORTO;"4405";"CANELEIRA";329056;"CARACTERÍSTICAS ADICIONAIS: REVESTIDO EM NÁILON COM VELCRO, PESO: 2, TIPO: PESO DE AREIA, USO: FISIOTERAPIA";"PAR";36,0000;20,00000;720,0000
"166/2025";Aprovada;;"Aquisição de Material  de consumo para realização de ações de vigilância e promoção da saúde (Ativid";BENS;250110;99.888,4400;07/08/2024;03/02/2025;180;"SAA.COGEP.COASS";"284/2024";"Médio";7;01/02/2025;Material;7810;EQUIPAMENTO PARA ATLETISMO E DESPORTO;"4405";"CANELEIRA";329058;"CARACTERÍSTICAS ADICIONAIS: REVESTIDO EM NÁILON COM VELCRO, PESO: 4, TIPO: PESO DE AREIA, USO: FISIOTERAPIA";"PAR";50,0000;10,00000;500,0000
"166/2025";Aprovada;;"Aquisição de Material  de consumo para realização de ações de vigilância e promoção da saúde (Ativid";BENS;250110;99.888,4400;07/08/2024;03/02/2025;180;"SAA.COGEP.COASS";"284/2024";"Médio";8;01/02/2025;Material;7810;EQUIPAMENTO PARA ATLETISMO E DESPORTO;"4405";"CANELEIRA";377416;"CARACTERÍSTICAS ADICIONAIS: REVESTIDO EM NÁILON COM VELCRO, PESO: 5, TIPO: PESO DE AREIA, USO: FISIOTERAPIA";"PAR";51,0000;15,00000;765,0000
"166/2025";Aprovada;;"Aquisição de Material  de consumo para realização de ações de vigilância e promoção da saúde (Ativid";BENS;250110;99.888,4400;07/08/2024;03/02/2025;180;"SAA.COGEP.COASS";"284/2024";"Médio";9;01/02/2025;Material;7810;EQUIPAMENTO PARA ATLETISMO E DESPORTO;"2640";"APARELHO / EQUIPAMENTO PARA CONDICIONAMENTO FÍSICO";609773;"APLICAÇÃO: CONDICIONAMENTO FÍSICO, DIMENSÕES: 60 X 30 X 10, MATERIAL: EVA, TIPO: STEP";"UN";191,0000;15,00000;2.865,0000
"166/2025";Aprovada;;"Aquisição de Material  de consumo para realização de ações de vigilância e promoção da saúde (Ativid";BENS;250110;99.888,4400;07/08/2024;03/02/2025;180;"SAA.COGEP.COASS";"284/2024";"Médio";10;01/02/2025;Material;7830;EQUIPAMENTO PARA GINÁSTICA E RECREAÇÃO;"18452";"TATAME";482639;"CARACTERÍSTICAS ADICIONAIS: ATÓXICA, ANTIDERRAPANTE E LAVÁVEL, COMPRIMENTO PLACA: 100, ESPESSURA PLACA: 20, LARGURA PLACA: 100, MATERIAL: E.V.A.";"UN";90,0000;50,00000;4.500,0000
"166/2025";Aprovada;;"Aquisição de Material  de consumo para realização de ações de vigilância e promoção da saúde (Ativid";BENS;250110;99.888,4400;07/08/2024;03/02/2025;180;"SAA.COGEP.COASS";"284/2024";"Médio";11;01/02/2025;Material;7830;EQUIPAMENTO PARA GINÁSTICA E RECREAÇÃO;"2638";"APARELHO / ACESSÓRIO - ACONDICIONAMENTO FÍSICO";601574;"CAPACIDADE DE CARGA: 10, CARACTERÍSTICAS ADICIONAIS: RETALHOS DE PANO E SACOS COM GRÂNULOS DE FERRO, MATERIAL BASE/HASTE: TECIDO EMBORRACHADO E LONA MARÍTIMA, QUANTIDADE DE ALÇAS: 4, TIPO: BOLSA (POWER BAG/SAND BAG), USO: EQUIPAMENTOS DE ACADEMIA PARA TREINO FUNCIONAL,";"UN";125,0000;15,00000;1.875,0000
"166/2025";Aprovada;;"Aquisição de Material  de consumo para realização de ações de vigilância e promoção da saúde (Ativid";BENS;250110;99.888,4400;07/08/2024;03/02/2025;180;"SAA.COGEP.COASS";"284/2024";"Médio";12;01/02/2025;Material;7830;EQUIPAMENTO PARA GINÁSTICA E RECREAÇÃO;"3431";"BASTÃO GINÁSTICA";613650;"COMPRIMENTO: 1, DIÂMETRO EXTERNO: 3, MATERIAL: PVC - CLORETO DE POLIVINILA";"UN";30,0000;30,00000;900,0000
"166/2025";Aprovada;;"Aquisição de Material  de consumo para realização de ações de vigilância e promoção da saúde (Ativid";BENS;250110;99.888,4400;07/08/2024;03/02/2025;180;"SAA.COGEP.COASS";"284/2024";"Médio";13;01/02/2025;Material;7830;EQUIPAMENTO PARA GINÁSTICA E RECREAÇÃO;"2640";"APARELHO / EQUIPAMENTO PARA CONDICIONAMENTO FÍSICO";602160;"APLICAÇÃO: CONDICIONAMENTO FÍSICO, CARACTERISTICAS ADICIONAIS: DIÂMETRO: 65 CM/PVC ANTIDERRAPANETEM/CARGA: 200 KG, TIPO: BOLA PARA PILATES, MODELO: BOLA SUIÇA";"UN";90,0000;35,00000;3.150,0000
"166/2025";Aprovada;;"Aquisição de Material  de consumo para realização de ações de vigilância e promoção da saúde (Ativid";BENS;250110;99.888,4400;07/08/2024;03/02/2025;180;"SAA.COGEP.COASS";"284/2024";"Médio";14;01/02/2025;Material;7830;EQUIPAMENTO PARA GINÁSTICA E RECREAÇÃO;"8166";"HALTERE";394144;"FORMA: BOLAS NAS LATERAIS, MATERIAL: FERRO, PESO: 5, REVESTIMENTO: BORRACHA PVC - CLORETO DE POLIVINILA, TIPO: MACIÇO";"UN";60,0000;30,00000;1.800,0000
"166/2025";Aprovada;;"Aquisição de Material  de consumo para realização de ações de vigilância e promoção da saúde (Ativid";BENS;250110;99.888,4400;07/08/2024;03/02/2025;180;"SAA.COGEP.COASS";"284/2024";"Médio";15;01/02/2025;Material;7830;EQUIPAMENTO PARA GINÁSTICA E RECREAÇÃO;"8166";"HALTERE";394143;"FORMA: BOLAS NAS LATERAIS, MATERIAL: FERRO, PESO: 4, REVESTIMENTO: BORRACHA PVC - CLORETO DE POLIVINILA, TIPO: MACIÇO";"UN";48,0000;30,00000;1.440,0000
"166/2025";Aprovada;;"Aquisição de Material  de consumo para realização de ações de vigilância e promoção da saúde (Ativid";BENS;250110;99.888,4400;07/08/2024;03/02/2025;180;"SAA.COGEP.COASS";"284/2024";"Médio";16;01/02/2025;Material;7830;EQUIPAMENTO PARA GINÁSTICA E RECREAÇÃO;"8166";"HALTERE";394141;"FORMA: BOLAS NAS LATERAIS, MATERIAL: FERRO, PESO: 3, REVESTIMENTO: BORRACHA PVC - CLORETO DE POLIVINILA, TIPO: MACIÇO";"UN";36,0000;30,00000;1.080,0000
"166/2025";Aprovada;;"Aquisição de Material  de consumo para realização de ações de vigilância e promoção da saúde (Ativid";BENS;250110;99.888,4400;07/08/2024;03/02/2025;180;"SAA.COGEP.COASS";"284/2024";"Médio";17;01/02/2025;Material;7830;EQUIPAMENTO PARA GINÁSTICA E RECREAÇÃO;"8166";"HALTERE";436540;"FORMA: BOLAS NAS LATERAIS, MATERIAL: BORRACHA EVA, PESO: 2, TIPO: MACIÇO";"UN";24,0000;20,00000;480,0000
"166/2025";Aprovada;;"Aquisição de Material  de consumo para realização de ações de vigilância e promoção da saúde (Ativid";BENS;250110;99.888,4400;07/08/2024;03/02/2025;180;"SAA.COGEP.COASS";"284/2024";"Médio";18;01/02/2025;Material;7830;EQUIPAMENTO PARA GINÁSTICA E RECREAÇÃO;"8166";"HALTERE";399138;"APLICAÇÃO: GINÁSTICA E MUSCULAÇÃO, FORMA: BOLAS NAS LATERAIS, MATERIAL: BORRACHA EVA, PESO: 1, TIPO: MACIÇO";"UN";12,0000;20,00000;240,0000
"166/2025";Aprovada;;"Aquisição de Material  de consumo para realização de ações de vigilância e promoção da saúde (Ativid";BENS;250110;99.888,4400;07/08/2024;03/02/2025;180;"SAA.COGEP.COASS";"284/2024";"Médio";19;01/02/2025;Material;7830;EQUIPAMENTO PARA GINÁSTICA E RECREAÇÃO;"8166";"HALTERE";261398;"APLICAÇÃO: GINÁSTICA E MUSCULAÇÃO, FORMA: BOLAS NAS LATERAIS, MATERIAL: FERRO, PESO: 6, REVESTIMENTO: PINTADO, TIPO: MACIÇO";"UN";72,0000;30,00000;2.160,0000
"166/2025";Aprovada;;"Aquisição de Material  de consumo para realização de ações de vigilância e promoção da saúde (Ativid";BENS;250110;99.888,4400;07/08/2024;03/02/2025;180;"SAA.COGEP.COASS";"284/2024";"Médio";20;01/02/2025;Material;7830;EQUIPAMENTO PARA GINÁSTICA E RECREAÇÃO;"8166";"HALTERE";272802;"APLICAÇÃO: GINÁSTICA E MUSCULAÇÃO, FORMA: BOLAS NAS LATERAIS, MATERIAL: FERRO, PESO: 8, REVESTIMENTO: PINTADO, TIPO: MACIÇO";"UN";96,0000;10,00000;960,0000
"166/2025";Aprovada;;"Aquisição de Material  de consumo para realização de ações de vigilância e promoção da saúde (Ativid";BENS;250110;99.888,4400;07/08/2024;03/02/2025;180;"SAA.COGEP.COASS";"284/2024";"Médio";21;01/02/2025;Material;7830;EQUIPAMENTO PARA GINÁSTICA E RECREAÇÃO;"8166";"HALTERE";272804;"APLICAÇÃO: GINÁSTICA E MUSCULAÇÃO, FORMA: BOLAS NAS LATERAIS, MATERIAL: FERRO, PESO: 10, REVESTIMENTO: PINTADO, TIPO: MACIÇO";"UN";120,0000;20,00000;2.400,0000
"166/2025";Aprovada;;"Aquisição de Material  de consumo para realização de ações de vigilância e promoção da saúde (Ativid";BENS;250110;99.888,4400;07/08/2024;03/02/2025;180;"SAA.COGEP.COASS";"284/2024";"Médio";22;01/02/2025;Material;7830;EQUIPAMENTO PARA GINÁSTICA E RECREAÇÃO;"8166";"HALTERE";437108;"APLICAÇÃO: GINÁSTICA E MUSCULAÇÃO, FORMA: CILÍNDRICA, MATERIAL: FERRO FUNDIDO, PESO: 9, REVESTIMENTO: BORRACHA PVC - CLORETO DE POLIVINILA, REVESTIMENTO EXTERNO ANILHAS: ANILHAS EMBORRACHADAS, TIPO: MACIÇO";"UN";108,0000;20,00000;2.160,0000
